nome_bairro,desc_atividade,nome_grupo,n
VARZEA,"COMÉRCIO ATACADISTA DE INSTR E MATER P/ USO MÉDICO, CIRÚRG, HOSP E DE LABORATÓRIOS",COMERCIO ATACADISTA,3
VARZEA,COMÉRCIO ATACADISTA ESPECIALIZADO EM OUTROS PRODUT ALIMENT N/ ESP ANTERIORMENTE,COMERCIO ATACADISTA,3
VARZEA,"COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO",OUTRAS ATIVIDADES VAREJISTAS,3
VARZEA,COMÉRCIO VAREJISTA DE ARTIGOS DE ÓPTICA,OUTRAS ATIVIDADES VAREJISTAS,3
VARZEA,COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA,OUTRAS ATIVIDADES VAREJISTAS,3
VARZEA,"COMÉRCIO VAREJISTA DE COSMÉTICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL",OUTRAS ATIVIDADES VAREJISTAS,3
VARZEA,COMÉRCIO VAREJISTA DE PLANTAS E FLORES NATURAIS,OUTRAS ATIVIDADES VAREJISTAS,3
VARZEA,COMÉRCIO VAREJISTA DE TINTAS E MATERIAIS PARA PINTURA,OUTRAS ATIVIDADES VAREJISTAS,3
VARZEA,COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS DE TELEFONIA E COMUNICAÇÃO,OUTRAS ATIVIDADES VAREJISTAS,3
VARZEA,Desenvolvimento de programas de computador sob encomenda,SERVICOS DE INFORMATICA,3
VARZEA,EDUCAÇÃO INFANTIL - CRECHE,EDUCACAO,3
VARZEA,FABRICAÇÃO DE OUTROS PRODUTOS TÊXTEIS NÃO ESPECIFICADOS ANTERIORMENTE,INDUSTRIA GERAL,3
VARZEA,Fabricacao de produtos de panificacao industrial,INDUSTRIA GERAL,3
VARZEA,FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA EMPRESAS,OUTROS SERVICOS,3
VARZEA,"INSTALAÇÃO DE PORTAS, JANELAS, TETOS, DIVISÓRIAS E ARMÁR EMBUT DE QUALQ MATERIAL","INSTALACAO, COLOCACAO E MONTAGEM",3
